MisconceptionId,MisconceptionName,a000-llama3-mega-misconception-aug-seed201_misunderstanding
0,Does not know that angles in a triangle sum to 180 degrees,"Explanation: This misconception arises when students are not aware of or have not fully understood the fundamental property of triangles that the sum of the interior angles of a triangle is always 180 degrees. They may believe that the sum of the angles can be any value or may think that it varies depending on the type of triangle (e.g., equilateral, isosceles, scalene). 

This misconception can lead to errors when students are asked to find missing angles in a triangle, determine if a set of angles can form a triangle, or solve problems involving the interior angles of triangles.

Short cases where this misconception may occur:

1. When given two angles of a triangle and asked to find the third angle, a student with this misconception may not know how to proceed or may give an incorrect answer.
2. When asked to determine if a set of three angles (e.g., 60°, 80°, 100°) can form a triangle, a student with this misconception may incorrectly say yes or no without considering the sum of the angles.
3. When solving a problem involving the interior angles of a triangle, such as finding the sum of the angles in a triangle with two given angles, a student with this misconception may arrive at an incorrect solution."
1,Uses dividing fractions method for multiplying fractions,"Explanation: This misconception arises when students incorrectly apply the method for dividing fractions to multiplication problems involving fractions. In their minds, they may think that since dividing fractions involves inverting the second fraction and then multiplying, the same operation of inverting might apply to multiplying fractions as well. This misconception shows a lack of understanding of the fundamental principles of fraction operations.

Short cases when the misconception will occur:

- Multiplying two simple fractions: When asked to multiply 1/2 and 1/3, a student with this misconception may incorrectly invert the second fraction and multiply, resulting in an incorrect calculation of 1/2 ÷ 1/3 = 1/2 * 3/1 = 3/2, instead of the correct 1/6.

- Multiplying fractions with variables: In algebra, when dealing with expressions like (1/2)x * (1/3), students with this misconception may again invert the second fraction, leading to incorrect simplifications.

- Word problems involving fraction multiplication: In real-world applications, such as calculating the area of a room that is 1/2 of a certain length and 1/3 of a certain width, students might apply the incorrect dividing fractions method, resulting in incorrect area calculations."
2,Believes there are 100 degrees in a full turn,"Explanation: This misconception arises when students mistakenly believe that a full turn or a full circle consists of 100 degrees, rather than the correct 360 degrees. This error can stem from a misunderstanding of the concept of degrees as a unit of measurement for angles, or a lack of exposure to real-world examples that illustrate the concept of a full turn.

This misconception can occur in various situations, such as:

- When drawing or measuring angles in geometry, a student might label a full turn as 100 degrees.
- In a real-world context, a student might believe that a car turning a full circle has only turned 100 degrees.
- When working with circular shapes in art or design, a student might divide the circle into 100 equal parts, rather than 360.
- In problem-solving, a student might calculate the measure of an angle in a diagram incorrectly, assuming a full turn has 100 degrees."
3,"Thinks a quadratic without a non variable term, can not be factorised","Explanation: This misconception arises when students are introduced to quadratic equations and factorization. They may believe that a quadratic expression in the form of ax^2 + bx, where 'c' is absent (i.e., the constant term is zero), cannot be factorized. They may think that factorization requires a non-variable term (the constant 'c') to be present in the quadratic expression.

This misconception may occur in cases such as:

* Factorizing x^2 + 5x
* Factorizing 2x^2 - 3x
* Factorizing x^2 - 2x

In each of these cases, the student may mistakenly think that factorization is not possible because there is no constant term present in the quadratic expression."
4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"Explanation: This misconception arises when students misunderstand the concept of addition and exponentiation. They may think that adding two terms or variables together is the same as raising one term to the power of the other. This misconception shows a lack of understanding of the fundamental operations in mathematics, specifically the difference between addition and exponentiation.

For example, this misconception may occur in the following cases:

- When simplifying algebraic expressions, students may incorrectly simplify a + b as a^b instead of leaving it as a + b.
- When solving equations, students may mistakenly apply the rules of exponents to addition problems, leading to incorrect solutions.
- When working with polynomials, students may incorrectly combine terms by adding their exponents instead of their coefficients.
- When solving problems involving geometric progression, students may incorrectly calculate the sum of terms by adding their exponents instead of using the correct formula.
- When solving mathematical problems in science, students may misapply the rules of exponents to real-world problems, leading to incorrect conclusions."
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","Explanation: This misconception arises when students are asked to measure reflex angles. Instead of identifying the actual reflex angle, they tend to find the acute or obtuse angle on the other side of the line or the interior angle of the shape, which, when added to the reflex angle, would sum to 360 degrees. This is often due to a lack of understanding of the definition of reflex angles or a failure to recognize that reflex angles are greater than 180 degrees.

Short cases when the misconception will occur:

- When measuring the angle between two intersecting lines or planes, students might measure the acute angle formed instead of the reflex angle.
- In a polygon, students may find the interior angle of the shape instead of the reflex angle formed by extending one of the sides.
- When working with angles around a point, students might find the acute or obtuse angle on the other side of the point instead of the reflex angle.
- In circle theorems, students might incorrectly measure the angle subtended by an arc, giving the acute angle on the other side of the circle instead of the reflex angle."
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"Explanation: This misconception occurs when students understand that to form an equivalent fraction, a multiplier is applied to the denominator, but they fail to apply the same multiplier to the numerator. They may recognize the need to multiply the denominator by a certain number to obtain an equivalent fraction, but they do not realize that the numerator must also be multiplied by the same number to maintain the equivalence of the fractions.

For example, this misconception may occur in the following cases:

* When simplifying fractions: A student may simplify the fraction 6/8 to 3/4 by dividing the denominator by 2, but fail to divide the numerator by 2 as well.
* When comparing fractions: A student may compare the fractions 2/4 and 3/6 by multiplying the denominator of 2/4 by 1.5 to get 3/6, but fail to multiply the numerator by 1.5 as well.
* When adding or subtracting fractions with different denominators: A student may multiply the denominator of one fraction to match the denominator of the other fraction, but fail to multiply the numerator by the same number.
* When solving problems involving equivalent ratios: A student may recognize the need to multiply the denominator of a ratio by a certain number to obtain an equivalent ratio, but fail to multiply the numerator by the same number."
7,Believes gradient = change in y,"Explanation: This misconception arises when students understand that the gradient is related to the change in the y-coordinate, but they fail to consider the change in the x-coordinate. They might believe that the gradient is solely the change in the y-coordinate, rather than the ratio of the change in the y-coordinate to the change in the x-coordinate. This misconception can lead students to incorrectly calculate gradients, especially when the change in the x-coordinate is not equal to 1.

Short cases when the misconception will occur:

* When finding the gradient of a line that passes through two points, students might only consider the difference in the y-coordinates, ignoring the difference in the x-coordinates.
* When comparing the steepness of two lines, students might incorrectly conclude that the line with the greater change in y has a greater gradient, without considering the corresponding changes in x.
* When interpreting the gradient in a real-world context, such as the slope of a hill or the rate of change of a quantity, students might misunderstand the meaning of the gradient and focus solely on the change in the y-coordinate."
8,Student thinks that any two angles along a straight line are equal,"Explanation: This misconception arises when students misunderstand the concept of angles on a straight line. They might recall that the sum of angles on a straight line is 180 degrees, but incorrectly assume that this means any two angles on that line are equal. They may think that the mere fact that two angles share the same line means they must have the same measure, disregarding the possibility of one angle being larger and the other smaller, as long as they add up to 180 degrees.

This misconception can occur in the following cases:

- When drawing diagrams, a student might label two angles on the same line with the same value, even if there's no evidence to support that they are equal.
- When solving problems, a student might incorrectly assume that two angles on a straight line are equal, leading to incorrect calculations and conclusions.
- When dealing with more complex geometric shapes, such as triangles or quadrilaterals, students might apply this misconception to internal angles, thinking that any two angles along a straight line within the shape are equal, which can lead to incorrect analysis of the shape's properties."
9,Thinks there are 180 degrees in a full turn,"Explanation: This misconception arises when students mistakenly believe that a full turn or a full rotation is equivalent to 180 degrees. They may think that since 180 degrees is a straight line, when you turn around completely, you would have covered this amount of degrees. However, this misunderstanding neglects the fact that a full turn actually involves turning all the way around until you face the same direction as you started with.

This misconception may occur in cases such as:

- When measuring angles in shapes and students assume that a full turn around the shape is 180 degrees.
- When working with directions on a compass and students think that turning around completely would be 180 degrees.
- When solving problems involving rotational symmetry, and students assume that an object has made a full turn after 180 degrees.
- When determining the angle of rotation in a geometric transformation and students think that a full rotation is equivalent to 180 degrees."
10,"Believes duration can be read from a timetable, rather than calculating from start and end times","Explanation: This misconception arises when students mistakenly think that a timetable directly displays the duration of an event or a journey, rather than understanding that the duration needs to be calculated by subtracting the start time from the end time. They may focus solely on the start and end times listed on the timetable without realizing the need to perform a calculation to determine the length of time.

Short cases when the misconception will occur:

- When reading a bus or train schedule, a student might think the duration of the journey is explicitly stated, rather than calculating it from the departure and arrival times.
- In a school setting, a student might look at a class timetable and incorrectly assume that the duration of a class is directly shown, rather than calculating it from the start and end times of the class period.
- When planning a trip or scheduling appointments, a student might misinterpret a timetable or calendar, thinking that the duration of events or travel times are directly displayed, rather than requiring a calculation."
11,"When reading value from graph, reads from the wrong axes.","Explanation: This misconception occurs when students are unable to correctly identify or interpret the x and y axes on a graph, leading to incorrect readings of values. They may confuse the variables being represented on each axis or misunderstand the scale and units used, resulting in misinterpretation of the data. This can happen when students are not familiar with the graph's layout, are not paying attention to the axis labels, or are not understanding the relationship between the variables being graphed.

Short cases when the misconception will occur:

- When a student is asked to find the value of a variable at a specific point on the graph, but they look at the wrong axis to determine the value.
- When a student is comparing data from two different graphs, but the axes are labeled differently, leading to confusion.
- When a student is reading values from a graph with multiple lines or curves, but they are not paying attention to which line or curve corresponds to which variable.
- When a student is working with a graph that has a non-standard or non-linear scale, making it harder to read values accurately.
- When a student is interpreting a graph with a lot of data or complex information, leading to information overload and incorrect readings."
12,Thinks that the side view does not include the furthest rows back,"Explanation: This misconception arises when students are asked to visualize and draw 3D objects, such as a seating arrangement in a theater or a stadium, from different perspectives. They may believe that when drawing a side view, only the rows that are closest to the viewer should be included, and the rows further back are not visible. This can lead to an incomplete or inaccurate representation of the 3D object.

Short cases when the misconception will occur:

* Drawing a side view of a theater with multiple rows of seats, the student only includes the front rows.
* Illustrating a stadium's seating arrangement from the side, the student forgets to include the upper levels of seating.
* Creating a side view of a rectangular prism, such as a bookshelf, the student only draws the front section and neglects to include the sections further back.
* When asked to draw a side view of a 3D object, such as a building or a bridge, the student only includes the parts that are closest to the viewer."
