SubjectId,Name,ParentId,Level,NameChinese
3,Maths,,0,数学
32,Number,3.0,1,数论
33,BIDMAS,144.0,3,BIDMAS
34,Upper and Lower Bounds,141.0,3,上界和下界
35,Calculator Use,32.0,2,计算器使用
36,Decimals,32.0,2,小数
37,"Factors, Multiples and Primes",32.0,2,因数、倍数和质数
38,"Fractions, Decimals and Percentage Equivalence",32.0,2,分数、小数和百分比的等价性
39,Fractions,32.0,2,分数
40,"Indices, Powers and Roots",32.0,2,指数、幂和根
41,Basic Money,331.0,3,基本货币
42,Negative Numbers,32.0,2,负数
44,Percentages,32.0,2,百分比
45,Proportion,32.0,2,比例
46,Ratio,32.0,2,比例
47,Standard Form,40.0,3,标准形式
48,Surds,32.0,2,无理根式
49,Algebra,3.0,1,代数
50,Expanding Single Brackets,152.0,3,展开单括号
51,Expanding Double Brackets,152.0,3,展开双括号
52,Factorising into a Single Bracket,153.0,3,因式分解为单括号
53,Factorising into a Double Bracket,153.0,3,因式分解为双括号形式
54,Straight Line Graphs,49.0,2,直线图象
55,Quadratic Graphs,49.0,2,二次函数图像
56,Graphs of Trigonometric Functions,158.0,3,三角函数的图像
57,Cubics and Reciprocals,158.0,3,三次方程与倒数函数
58,Real Life Graphs,158.0,3,现实生活中的图表
59,Inequalities,49.0,2,不等式
60,Rearranging Formula and Equations,156.0,3,重排公式和方程
61,Sequences,49.0,2,数列
62,Writing and Simplifying Expressions,49.0,2,编写和简化表达式
63,Simultaneous Equations,154.0,3,联立方程
64,Linear Equations,154.0,3,线性方程
65,Quadratic Equations,154.0,3,二次方程
66,Solving Other Powers of x,154.0,3,求解其他x的幂次方
67,Substitution into Formula,156.0,3,代入公式
68,Transformation of Functions,49.0,2,函数变换
69,Trial and Improvement and Iterative Methods,154.0,3,试错法和迭代法
70,Writing Expressions,62.0,3,编写表达式
71,Geometry and Measure,3.0,1,几何与测量
72,3D Pythagoras,271.0,3,三维勾股定理
73,"Types, Naming and Estimating",74.0,3,类型、命名和估计
74,Angles,71.0,2,角
75,Area of Simple Shapes,178.0,3,简单图形的面积
76,Bearings,74.0,3,方位角
77,Circles,71.0,2,圆
78,Circle Theorems,74.0,3,圆的定理
79,Compound Measures,71.0,2,复合量度
80,Congruency in Triangles,272.0,3,三角形的全等性
81,Co-ordinates,49.0,2,坐标
83,"Construction, Loci and Scale Drawing",71.0,2,构造、轨迹和比例尺绘图
84,Properties of Polygons,174.0,3,多边形的性质
85,Nets,176.0,3,网
86,Perimeter,178.0,3,周长
87,Plans and Elevations,176.0,3,平面图和立面图
88,Properties of Quadrilaterals,174.0,3,四边形的性质
89,2D Pythagoras,271.0,3,2D 勾股定理
90,Length Scale Factors in Similar Shapes,272.0,3,相似形状中的长度比例因子
91,Symmetry,71.0,2,对称性
92,Reflection,278.0,3,反射
93,Rotation,278.0,3,旋转
94,Enlargement,278.0,3,放大
95,Translation and Vectors,278.0,3,平移与向量
96,Combined Transformations,278.0,3,组合变换
97,Basic Trigonometry,71.0,2,基础三角学
98,Units of Measurement,71.0,2,测量单位
99,Basic Vectors,71.0,2,基本向量
100,Volume and Surface Area,71.0,2,体积和表面积
101,Data and Statistics,3.0,1,数据与统计学
102,"Averages (mean, median, mode) from a List of Data",338.0,3,平均数（均值、中位数、众数）来自数据列表
103,Averages and Range from Grouped Data,338.0,3,分组数据的平均数和范围
104,Box Plots,342.0,3,箱线图
105,Cumulative Frequency Diagram,342.0,3,累积频率图
106,Block Graphs and Bar Charts,342.0,3,块图和条形图
107,Histogram,342.0,3,直方图
108,Pictogram,342.0,3,象形图
109,Pie Chart,342.0,3,饼图
110,Experimental Probability and Relative Frequency,348.0,3,实验概率与相对频率
111,Probability of Single Events,348.0,3,单个事件的概率
112,Tree Diagrams with Dependent Events,348.0,3,依赖事件的树状图
113,Data Collection,101.0,2,数据收集
114,Sampling and Bias,338.0,3,抽样与偏差
115,Scatter Diagram,342.0,3,散点图
116,Stem and Leaf Diagram,342.0,3,茎叶图
117,Time Series and Line Graphs,342.0,3,时间序列和折线图
118,Two Way Tables,342.0,3,双向表
119,Advanced Pure,3.0,1,高等纯数学
120,Factor Theorem,142.0,3,因式定理
121,Binomial Expansion,119.0,2,二项式展开
122,Complex Numbers,119.0,2,复数
123,Conic Sections,119.0,2,圆锥曲线
125,Differential Equations,126.0,3,微分方程
126,Differentiation,119.0,2,微分
128,Exponentials and Logarithms,119.0,2,指数与对数
129,Integration,119.0,2,积分
130,Matrices,119.0,2,矩阵
131,Modulus Function,146.0,3,模函数
133,Parametric Equations,119.0,2,参数方程
134,Partial Fractions,142.0,3,部分分式
135,Polar Co-ordinates,122.0,3,极坐标
137,Sequences and Series,119.0,2,数列与级数
139,Advanced Trigonometry,119.0,2,高等三角学
140,Advanced Vectors,119.0,2,高级向量
141,Rounding and Estimating,32.0,2,舍入和估算
142,Advanced Algebra,119.0,2,高等代数
144,Basic Arithmetic,32.0,2,基本算术
146,Functions,119.0,2,函数
149,Advanced Mechanics,3.0,1,高等力学
150,Advanced Decision,3.0,1,高级决策
151,Advanced Statistics,3.0,1,高等统计学
152,Expanding Brackets,49.0,2,展开括号
153,Factorising,49.0,2,因式分解
154,Solving Equations,49.0,2,解方程
156,Formula,49.0,2,公式
157,Writing Formula,156.0,3,编写公式
158,Other Graphs,49.0,2,其他图形
159,Equation of a Circle,158.0,3,圆的方程
160,Graphs of Exponentials and Other Powers of x,158.0,3,指数函数和其他x的幂的图像
163,Transformations of functions in the form y =,68.0,3,函数形式 y = 的变换
164,Transformations of functions in the form f(x),68.0,3,形式为 f(x) 的函数变换
165,Inequalities on Number Lines,59.0,3,数轴上的不等式
166,Solving Linear Inequalities,59.0,3,解线性不等式
167,Graphing Linear Inequalities (Shading Regions),59.0,3,绘制线性不等式（阴影区域）
168,Solving Quadratic Inequalities,59.0,3,解二次不等式
171,Linear Sequences (nth term),61.0,3,线性序列（第n项）
172,Quadratic Sequences,61.0,3,二次序列
173,Other Sequences,61.0,3,其他序列
174,2D Names and Properties of Shapes,71.0,2,2D图形的名称和性质
175,Properties of Triangles,174.0,3,三角形的性质
176,3D Shapes,71.0,2,三维图形
177,Names and Properties of 3D Shapes,176.0,3,三维图形的名称和性质
178,Perimeter and Area,71.0,2,周长和面积
179,Compound Area,178.0,3,复合面积
180,Measuring Angles,74.0,3,测量角度
181,"Basic Angle Facts (straight line, opposite, around a point, etc)",74.0,3,基本角度事实（直线，对顶角，围绕一点等）
182,Angle Facts with Parallel Lines,74.0,3,与平行线有关的角度事实
183,Angles in Polygons,74.0,3,多边形中的角
184,Parts of a Circle,77.0,3,圆的组成部分
185,Circumference,77.0,3,周长
186,Area of a Circle,77.0,3,圆的面积
187,Sectors of a Circle,77.0,3,圆的扇形
188,Surface Area of Prisms,100.0,3,棱柱的表面积
189,Volume of Prisms,100.0,3,棱柱的体积
190,Construct Angle,83.0,3,构造角
191,Construct Triangle,83.0,3,构造三角形
192,Construct Angle and Line Bisectors,83.0,3,构造角平分线和线段平分线
193,Loci Scenarios,83.0,3,轨迹情景
195,Length Units,98.0,3,长度单位
196,Area Units,98.0,3,面积单位
197,Volume and Capacity Units,98.0,3,体积和容量单位
198,Weight Units,98.0,3,重量单位
199,Temperature units,98.0,3,温度单位
200,Counting,144.0,3,计数
202,Place Value,144.0,3,位值
203,Mental Addition and Subtraction,144.0,3,心算加减法
204,Mental Multiplication and Division,144.0,3,心算乘法和除法
205,Written Addition,144.0,3,书面加法
206,Written Subtraction,144.0,3,书面减法
207,Written Multiplication,144.0,3,书面乘法
208,Written Division,144.0,3,除法书写
209,Time,98.0,3,时间
210,Ordering Negative Numbers,42.0,3,排列负数
211,Adding and Subtracting Negative Numbers,42.0,3,加减负数
212,Multiplying and Dividing Negative Numbers,42.0,3,负数的乘法和除法
213,"Rounding to the Nearest Whole (10, 100, etc)",141.0,3,"四舍五入到最接近的整数（10, 100, 等）"
214,Rounding to Decimal Places,141.0,3,四舍五入到小数位
215,Rounding to Significant Figures,141.0,3,四舍五入到有效数字
216,Estimation,141.0,3,估计
217,Basic Calculator Use,35.0,3,基本计算器使用
218,Advanced Calculator Use,35.0,3,高级计算器使用
219,Factors and Highest Common Factor,37.0,3,因数和最大公因数
220,Multiples and Lowest Common Multiple,37.0,3,倍数和最小公倍数
221,Prime Numbers and Prime Factors,37.0,3,质数和质因数
222,Ordering Decimals,36.0,3,排列小数
223,Adding and Subtracting with Decimals,36.0,3,小数的加法和减法
224,Multiplying and Dividing with Decimals,36.0,3,小数的乘法和除法
225,Fractions of an Amount,39.0,3,金额的分数
226,Equivalent Fractions,39.0,3,等值分数
227,Simplifying Fractions,39.0,3,简化分数
228,Ordering Fractions,39.0,3,排序分数
229,Converting Mixed Number and Improper Fractions,39.0,3,混合数与假分数的转换
230,Adding and Subtracting Fractions,39.0,3,加减分数
231,Multiplying Fractions,39.0,3,分数乘法
232,Dividing Fractions,39.0,3,分数除法
233,Percentages of an Amount,44.0,3,金额的百分比
234,Percentage Increase and Decrease,44.0,3,百分比增加和减少
235,Reverse Percentages (Original Amount),44.0,3,反百分比（原始金额）
236,Repeated Percentages and Compound Interest,44.0,3,重复百分比和复利
237,Converting between Fractions and Decimals,38.0,3,分数与小数的转换
238,Converting between Fractions and Percentages,38.0,3,分数与百分比之间的转换
239,Converting between Decimals and Percentages,38.0,3,在小数和百分数之间转换
240,Simplifying and Equivalent Ratios,46.0,3,简化和等价比例
241,Sharing in a Ratio,46.0,3,按比例分配
242,Find Missing Quantities,46.0,3,寻找缺失的量
243,Direct Proportion,45.0,3,正比例
244,Indirect (Inverse) Proportion,45.0,3,间接（反）比例
245,"Squares, Cubes, etc",40.0,3,平方、立方等
246,"Square Roots, Cube Roots, etc",40.0,3,平方根，立方根，等等。
247,Laws of Indices,40.0,3,指数法则
248,Simplifying Surds,48.0,3,简化根式
249,Operations with Surds,48.0,3,根式的运算
250,Rationalising the Denominator,48.0,3,有理化分母
251,Simplifying Expressions by Collecting Like Terms,62.0,3,通过合并同类项简化表达式
252,Multiplying Terms,62.0,3,乘法项
253,Dividing Terms,62.0,3,除法项
254,Difference of Two Squares,153.0,3,两数平方差
255,Algebraic Fractions,49.0,2,代数分数
256,Completing the Square,153.0,3,配方法
257,Plotting Lines from Tables of Values,54.0,3,从值表绘制直线
258,Horizontal and Vertical Lines,54.0,3,水平线和垂直线
259,Finding the Equation of a Line,54.0,3,求直线的方程
